"","state_fips","year","prop_gov","state_name","prop_US_house","prop_US_sen","state_house_all","p_comp_elections_state_house","p_third_party_state_house","state_house_uncontested","p_total_uncontested_state_house","party_diff_uncontested_state_house","state_house_contested","state_sen_all","p_comp_elections_state_sen","p_third_party_state_sen","state_sen_uncontested","p_total_uncontested_state_sen","party_diff_uncontested_state_sen","state_sen_contested","party","prop_pres","party_strength","party_strength_nogov","party_strength2","party_strength_nogov2","party_strength_smoothed"
"1",1,1978,0.737,"Alabama",0.690335145,0.750078256,0.930365188,0.116883117,0.001291386,0.525974026,0.525974026,0.525974026,0.647124736,0.959256214,0.076923077,0.002764306,0.615384615,0.615384615,0.615384615,0.658732175,"Dem",0.56666724,0.820877064171345,0.894602713955892,0.820877064171345,0.894602713955892,0.894602713955892
"2",1,1980,0.737,"Alabama",0.639414184,0.484059571,0.930365188,0.116883117,0.001291386,0.525974026,0.525974026,0.525974026,0.647124736,0.959256214,0.076923077,0.002764306,0.615384615,0.615384615,0.615384615,0.658732175,"Dem",0.493236617,0.833791689000566,0.77016807617658,0.833791689000566,0.77016807617658,0.857272322622098
"3",1,1982,0.5961,"Alabama",0.71287354,0.484059571,0.926813538,0.139303483,0.014390913,0.517412935,0.517412935,0.517412935,0.600455935,0.944557774,0.058139535,0.050001159,0.627906977,0.627906977,0.627906977,0.502129261,"Dem",0.493236617,0.66124660776298,0.652511912271464,0.66124660776298,0.652511912271464,0.734871227005045
"4",1,1984,0.5961,"Alabama",0.727261705,0.633191886,0.718782971,0.139303483,0.014390913,0.517412935,0.517412935,0.517412935,0.600455935,0.741157578,0.058139535,0.050001159,0.627906977,0.627906977,0.627906977,0.502129261,"Dem",0.387366046,0.70419263980482,0.713063580856275,0.70419263980482,0.713063580856275,0.670677412846908
"5",1,1986,0.4355,"Alabama",0.608674051,0.502815008,0.815837124,0.215909091,0.00609676,0.392045455,0.409090909,0.375,0.561874188,0.826803868,0.1,0.001033113,0.55,0.55,0.55,0.511508648,"Dem",0.387366046,0.585047357194028,0.624395411129494,0.585047357194028,0.624395411129494,0.686463129938241
"6",1,1988,0.4355,"Alabama",0.625589034,0.502815008,0.815837124,0.215909091,0.00609676,0.392045455,0.409090909,0.375,0.561874188,0.826803868,0.1,0.001033113,0.55,0.55,0.55,0.511508648,"Dem",0.402544316,0.703714263363436,0.725578617854265,0.703714263363436,0.725578617854265,0.654750373146925
"7",1,1990,0.4789,"Alabama",0.686744194,0.605748166,0.700559342,0.233766234,0.001206501,0.331168831,0.37012987,0.292207792,0.584072512,0.636465984,0.145454545,3.45e-05,0.2,0.272727273,0.127272727,0.621638723,"Dem",0.402544316,0.637512272120311,0.649502945324161,0.637512272120311,0.649502945324161,0.702755916095234
"8",1,1992,0.4789,"Alabama",0.582031141,0.662063438,0.700559342,0.233766234,0.001206501,0.331168831,0.37012987,0.292207792,0.584072512,0.636465984,0.145454545,3.45e-05,0.2,0.272727273,0.127272727,0.621638723,"Dem",0.461788735,0.654897792962151,0.663895071129128,0.654897792962151,0.663895071129128,0.653820583065651
"9",1,1994,0.4955,"Alabama",0.498075214,0.662063438,0.601454488,0.217647059,0.043830622,0.205882353,0.264705882,0.147058824,0.515812688,0.574380882,0.357142857,0.037747521,0.214285714,0.285714286,0.142857143,0.507488207,"Dem",0.461788735,0.484458938524485,0.489919395185303,0.484458938524485,0.489919395185303,0.611702368345981
"10",1,1996,0.4955,"Alabama",0.455095175,0.464312401,0.601454488,0.217647059,0.043830622,0.205882353,0.264705882,0.147058824,0.515812688,0.574380882,0.357142857,0.037747521,0.214285714,0.285714286,0.142857143,0.507488207,"Dem",0.462661288,0.467661788137817,0.465761308558163,0.467661788137817,0.465761308558163,0.482671969197161
"11",1,1998,0.5787,"Alabama",0.450391796,0.367158953,0.544810437,0.274390244,0.007184794,0.170731707,0.292682927,0.048780488,0.564490282,0.573055777,0.301587302,0.00242041,0.095238095,0.126984127,0.063492063,0.551516193,"Dem",0.462661288,0.493272688069562,0.472151340125669,0.493272688069562,0.472151340125669,0.467678318028415
"12",1,2000,0.5787,"Alabama",0.363820512,0.367158953,0.544810437,0.274390244,0.007184794,0.170731707,0.292682927,0.048780488,0.564490282,0.573055777,0.301587302,0.00242041,0.095238095,0.126984127,0.063492063,0.551516193,"Dem",0.423930581,0.477566058865726,0.468472544927662,0.477566058865726,0.468472544927662,0.471047701566267
"13",1,2002,0.4988,"Alabama",0.42199159,0.404733525,0.524753664,0.196428571,0.023733801,0.185714286,0.307142857,0.064285714,0.53649633,0.540646169,0.212121212,0.032644948,0.121212121,0.202020202,0.04040404,0.581154975,"Dem",0.423930581,0.412887437004415,0.411784205072844,0.412887437004415,0.411784205072844,0.451466042971217
"14",1,2004,0.4988,"Alabama",0.39619268,0.323869024,0.524753664,0.196428571,0.023733801,0.185714286,0.307142857,0.064285714,0.53649633,0.540646169,0.212121212,0.032644948,0.121212121,0.202020202,0.04040404,0.581154975,"Dem",0.371022286,0.475731504914421,0.473597110244627,0.475731504914421,0.473597110244627,0.430328076624379
